,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC-AUC,Test ROC-AUC
Logistic Regression,0.7105,0.7095,0.38325391422736554,0.38274932614555257,0.69079754601227,0.6977886977886978,0.4929947460595447,0.49434290687554394,0.7696627211526423,0.775923843720454
Decision Tree,0.775125,0.758,0.4700460829493088,0.44523470839260315,0.8134969325153374,0.769041769041769,0.5958211637834194,0.563963963963964,0.8665543527462896,0.826121961715182
Random Forest,0.95875,0.851,0.8878281622911695,0.6518105849582173,0.912883435582822,0.5749385749385749,0.9001814882032668,0.6109660574412533,0.9907401450433877,0.8617191922276667
Gradient Boosting,0.895625,0.862,0.8739416745061148,0.7434944237918215,0.5699386503067485,0.4914004914004914,0.6899368733754178,0.591715976331361,0.9291109591547804,0.8652257804800176
XGBoost,0.886625,0.869,0.8506304558680893,0.7777777777777778,0.5380368098159509,0.4987714987714988,0.6591506952273581,0.6077844311377245,0.9180759599734184,0.8620909044637859
